,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,poutcome,deposit,p_recency
0,59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,unknown,1,None
1,56.0,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,unknown,1,None
2,41.0,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,unknown,1,None
3,55.0,services,married,secondary,no,2476,yes,no,unknown,5,may,579,unknown,1,None
4,54.0,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,unknown,1,None
5,42.0,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,unknown,1,None
6,56.0,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,unknown,1,None
7,60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,unknown,1,None
8,37.0,technician,married,secondary,no,1,yes,no,unknown,6,may,608,unknown,1,None
9,28.0,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,unknown,1,None
10,38.0,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,unknown,1,None
11,30.0,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,unknown,1,None
12,29.0,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,unknown,1,None
13,46.0,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,unknown,1,None
14,31.0,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,unknown,1,None
15,35.0,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,unknown,1,None
16,32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,unknown,1,None
17,49.0,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,unknown,1,None
18,41.0,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,unknown,1,None
19,49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,unknown,1,None
20,28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,unknown,1,None
21,43.0,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,unknown,1,None
22,43.0,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,unknown,1,None
23,43.0,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,unknown,1,None
24,37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,unknown,1,None
25,35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,unknown,1,None
26,31.0,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,unknown,1,None
27,43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,unknown,1,None
28,31.0,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,unknown,1,None
29,28.0,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,unknown,1,None
30,32.0,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,unknown,1,None
31,60.0,technician,married,primary,no,65,yes,no,unknown,9,may,1028,unknown,1,None
32,26.0,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,unknown,1,None
33,40.0,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,unknown,1,None
34,33.0,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,unknown,1,None
35,32.0,management,single,tertiary,no,311,no,no,unknown,12,may,757,unknown,1,None
36,35.0,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,unknown,1,None
37,33.0,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,unknown,1,None
38,38.0,management,married,tertiary,no,119,yes,no,unknown,13,may,568,unknown,1,None
39,23.0,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,unknown,1,None
40,60.0,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,unknown,1,None
41,48.0,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,unknown,1,None
42,45.0,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,unknown,1,None
43,36.0,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,unknown,1,None
44,52.0,management,married,unknown,no,2240,yes,no,unknown,13,may,845,unknown,1,None
45,35.0,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,unknown,1,None
46,43.0,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,unknown,1,None
47,52.0,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,unknown,1,None
48,53.0,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,unknown,1,None
49,48.0,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,unknown,1,None
50,41.0,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,unknown,1,None
51,39.0,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,unknown,1,None
52,59.0,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,unknown,1,None
53,41.0,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,unknown,1,None
54,48.0,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,unknown,1,None
55,40.0,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,unknown,1,None
56,48.0,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,unknown,1,None
57,60.0,retired,married,primary,no,1542,yes,no,unknown,14,may,930,unknown,1,None
58,40.0,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,unknown,1,None
59,57.0,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,unknown,1,None
60,51.0,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,unknown,1,None
61,41.0,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,unknown,1,None
62,41.0,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,unknown,1,None
63,52.0,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,unknown,1,None
64,59.0,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,unknown,1,None
65,44.0,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,unknown,1,None
66,49.0,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,unknown,1,None
67,40.0,services,married,primary,no,-9,yes,no,unknown,15,may,920,unknown,1,None
68,41.0,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,unknown,1,None
69,44.0,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,unknown,1,None
70,60.0,services,single,primary,no,313,yes,no,unknown,15,may,920,unknown,1,None
71,29.0,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,unknown,1,None
72,41.0,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,unknown,1,None
73,41.0,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,unknown,1,None
74,42.0,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,unknown,1,None
75,36.0,services,single,unknown,no,281,yes,no,unknown,16,may,515,unknown,1,None
76,39.0,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,unknown,1,None
77,31.0,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,unknown,1,None
78,26.0,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,unknown,1,None
79,31.0,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,unknown,1,None
80,29.0,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,unknown,1,None
81,37.0,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,unknown,1,None
82,33.0,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,unknown,1,None
83,24.0,technician,single,secondary,no,409,yes,no,unknown,16,may,912,unknown,1,None
84,50.0,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,unknown,1,None
85,27.0,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,unknown,1,None
86,54.0,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,unknown,1,None
87,30.0,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,unknown,1,None
88,34.0,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,unknown,1,None
89,37.0,management,single,secondary,no,792,yes,no,unknown,16,may,1187,unknown,1,None
90,41.0,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,unknown,1,None
91,47.0,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,unknown,1,None
92,31.0,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,unknown,1,None
93,31.0,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,unknown,1,None
94,43.0,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,unknown,1,None
95,37.0,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,unknown,1,None
96,30.0,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,unknown,1,None
